round,loss,accuracy,asr,evasion_rate,timestamp
1,1.317628,58.6900,34.7971,75.0000,2026-06-07 00:24:11
2,0.318764,90.5000,1.4490,25.0000,2026-06-07 00:24:21
3,0.169626,95.0200,1.2595,100.0000,2026-06-07 00:24:31
4,0.127359,95.9100,0.5461,100.0000,2026-06-07 00:24:39
5,0.101353,96.7300,0.3790,100.0000,2026-06-07 00:24:49
6,0.107819,96.8700,0.9140,100.0000,2026-06-07 00:24:59
7,0.090620,97.1300,0.2675,100.0000,2026-06-07 00:25:08
8,0.081524,97.4000,0.4570,100.0000,2026-06-07 00:25:17
9,0.067673,97.9100,0.5127,100.0000,2026-06-07 00:25:26
10,0.074796,97.5400,0.4347,100.0000,2026-06-07 00:25:35
11,0.059113,98.0500,0.3567,100.0000,2026-06-07 00:25:44
12,0.059077,98.1600,0.5127,100.0000,2026-06-07 00:25:53
13,0.057458,98.2000,0.2675,100.0000,2026-06-07 00:26:02
14,0.057976,98.0900,0.3567,100.0000,2026-06-07 00:26:11
15,0.052460,98.3700,0.4681,100.0000,2026-06-07 00:26:19
16,0.049001,98.4400,0.4570,100.0000,2026-06-07 00:26:29
17,0.051515,98.3200,0.5127,100.0000,2026-06-07 00:26:38
18,0.048451,98.4200,0.6910,100.0000,2026-06-07 00:26:48
19,0.045072,98.5800,0.3790,100.0000,2026-06-07 00:26:58
20,0.042043,98.6400,0.3455,,2026-06-07 00:27:08
