round,loss,accuracy,asr,evasion_rate,timestamp
1,3.020909,45.0400,0.0000,0.0000,2026-06-07 13:37:37
2,3.006876,20.0000,87.9403,25.0000,2026-06-07 13:37:47
3,1.706018,47.4900,11.4467,0.0000,2026-06-07 13:37:56
4,1.155060,60.8900,2.0397,0.0000,2026-06-07 13:38:05
5,0.733688,74.4200,1.3709,0.0000,2026-06-07 13:38:16
6,1.386181,53.1900,50.9251,25.0000,2026-06-07 13:38:26
7,0.890615,68.9400,0.3790,0.0000,2026-06-07 13:38:36
8,0.483442,85.0400,2.4075,0.0000,2026-06-07 13:38:46
9,0.351097,89.9300,0.7356,0.0000,2026-06-07 13:38:55
10,0.441573,86.9000,0.3009,0.0000,2026-06-07 13:39:05
11,0.254632,92.0400,1.1592,0.0000,2026-06-07 13:39:15
12,0.365988,88.9100,3.0985,0.0000,2026-06-07 13:39:25
13,0.402218,88.6000,2.6416,0.0000,2026-06-07 13:39:34
14,0.280598,91.7500,0.7468,0.0000,2026-06-07 13:39:44
15,0.254962,92.1400,0.1783,0.0000,2026-06-07 13:39:55
16,0.280471,91.6300,0.2118,0.0000,2026-06-07 13:40:05
17,0.312930,90.2100,1.6050,0.0000,2026-06-07 13:40:16
18,0.183953,93.9200,0.2006,0.0000,2026-06-07 13:40:27
19,0.253366,92.2700,0.7133,0.0000,2026-06-07 13:40:36
20,0.326814,90.4500,0.9474,,2026-06-07 13:40:45
21,0.239661,93.2100,0.4681,0.0000,2026-06-07 13:40:55
22,0.194274,94.3200,2.1957,25.0000,2026-06-07 13:41:05
23,0.395345,88.1500,0.2452,0.0000,2026-06-07 13:41:16
24,0.269133,91.2900,0.1226,0.0000,2026-06-07 13:41:27
25,0.212101,93.8700,0.7579,0.0000,2026-06-07 13:41:36
26,0.252204,92.9200,0.6019,0.0000,2026-06-07 13:41:46
27,0.306941,90.4500,0.0557,0.0000,2026-06-07 13:41:57
28,0.205751,94.0600,3.2100,25.0000,2026-06-07 13:42:06
29,0.237106,93.4300,1.4044,0.0000,2026-06-07 13:42:14
30,0.209616,94.1800,0.8025,0.0000,2026-06-07 13:42:24
