round,loss,accuracy,asr,evasion_rate,timestamp
1,0.703462,80.6900,1.4712,0.0000,2026-06-07 19:11:04
2,0.236561,92.9600,0.4904,0.0000,2026-06-07 19:11:13
3,0.200878,94.2100,1.1146,100.0000,2026-06-07 19:11:22
4,0.145531,95.7100,0.8471,100.0000,2026-06-07 19:11:32
5,0.111884,96.7700,0.7133,100.0000,2026-06-07 19:11:41
6,0.117360,96.6000,1.3263,100.0000,2026-06-07 19:11:50
7,0.079172,97.4600,0.3901,,2026-06-07 19:12:00
8,0.081111,97.5200,0.6910,100.0000,2026-06-07 19:12:10
9,0.069912,97.8600,0.4235,100.0000,2026-06-07 19:12:18
10,0.066748,97.7700,0.4681,100.0000,2026-06-07 19:12:27
11,0.062313,98.2200,0.4904,100.0000,2026-06-07 19:12:37
12,0.051906,98.3600,0.3678,,2026-06-07 19:12:47
13,0.054737,98.1900,0.2118,100.0000,2026-06-07 19:12:56
14,0.052969,98.2800,0.2898,100.0000,2026-06-07 19:13:06
15,0.060699,98.2200,0.8471,100.0000,2026-06-07 19:13:15
16,0.056007,98.3600,0.6242,100.0000,2026-06-07 19:13:25
17,0.050974,98.3200,0.5127,100.0000,2026-06-07 19:13:35
18,0.042981,98.6400,0.3790,100.0000,2026-06-07 19:13:44
19,0.043989,98.7200,0.5573,100.0000,2026-06-07 19:13:53
20,0.041602,98.6500,0.5016,100.0000,2026-06-07 19:14:02
21,0.045761,98.5100,0.5907,100.0000,2026-06-07 19:14:12
22,0.040515,98.6900,0.5127,100.0000,2026-06-07 19:14:22
23,0.047297,98.5400,1.0588,100.0000,2026-06-07 19:14:32
24,0.042902,98.5800,1.0923,100.0000,2026-06-07 19:14:41
25,0.038430,98.7900,1.0031,100.0000,2026-06-07 19:14:50
26,0.040663,98.6700,1.6496,100.0000,2026-06-07 19:14:59
27,0.040728,98.7100,1.3486,100.0000,2026-06-07 19:15:09
28,0.040443,98.7500,1.7499,100.0000,2026-06-07 19:15:18
29,0.038396,98.7300,1.5716,100.0000,2026-06-07 19:15:27
30,0.041788,98.6100,6.0522,100.0000,2026-06-07 19:15:37
