round,loss,accuracy,asr,timestamp
1,0.559098,81.9200,0.6130,2026-03-26 16:46:02
2,0.286743,91.0700,1.2706,2026-03-26 16:46:12
3,0.310837,89.6900,1.0143,2026-03-26 16:46:23
4,0.163153,95.2800,0.1672,2026-03-26 16:46:33
5,0.136842,95.6700,0.2452,2026-03-26 16:46:44
6,0.126901,95.9000,0.4458,2026-03-26 16:46:55
7,0.151043,95.2200,0.3455,2026-03-26 16:47:05
8,0.112443,96.5200,0.4012,2026-03-26 16:47:16
9,0.110335,96.8400,0.3790,2026-03-26 16:47:27
10,0.106287,96.9000,0.6353,2026-03-26 16:47:38
11,0.136924,96.1400,0.1226,2026-03-26 16:47:50
12,0.114878,96.7500,0.6576,2026-03-26 16:48:01
13,0.139402,95.9000,0.1003,2026-03-26 16:48:12
14,0.093273,97.1900,0.3678,2026-03-26 16:48:24
15,0.097675,97.3700,0.3567,2026-03-26 16:48:34
16,0.107531,96.7200,0.2564,2026-03-26 16:48:46
17,0.098206,97.5400,0.2564,2026-03-26 16:48:57
18,0.098059,97.4900,0.3009,2026-03-26 16:49:08
19,0.106697,97.0700,0.1895,2026-03-26 16:49:20
20,0.097735,97.4500,0.2229,2026-03-26 16:49:30
21,0.106053,97.4800,0.1783,2026-03-26 16:49:40
22,0.098421,97.7500,0.1783,2026-03-26 16:49:51
23,0.084446,97.3500,0.2898,2026-03-26 16:50:01
24,0.081498,97.7500,0.2006,2026-03-26 16:50:11
25,0.074127,97.9800,0.3678,2026-03-26 16:50:22
26,0.111361,96.9700,0.1560,2026-03-26 16:50:32
27,0.075470,97.7100,0.2341,2026-03-26 16:50:43
28,0.068289,97.9400,0.3009,2026-03-26 16:50:55
29,0.078930,98.1100,0.1560,2026-03-26 16:51:06
30,0.072322,98.2400,0.1895,2026-03-26 16:51:17
31,0.070431,97.8300,0.2341,2026-03-26 16:51:28
32,0.067778,98.1100,0.1895,2026-03-26 16:51:39
33,0.067683,97.9800,0.1895,2026-03-26 16:51:50
34,0.062165,98.3200,0.1560,2026-03-26 16:52:02
35,0.064307,98.3900,0.1449,2026-03-26 16:52:14
36,0.078326,97.5400,0.7133,2026-03-26 16:52:25
37,0.078801,97.8700,0.2118,2026-03-26 16:52:36
38,0.060582,98.4100,0.1672,2026-03-26 16:52:47
39,0.063842,98.3800,0.2006,2026-03-26 16:52:59
40,0.061891,98.4600,0.2006,2026-03-26 16:53:10
41,0.066447,98.2700,0.3009,2026-03-26 16:53:21
42,0.065753,98.3300,0.2452,2026-03-26 16:53:31
43,0.065767,98.2800,0.1672,2026-03-26 16:53:42
44,0.074285,98.2800,0.1560,2026-03-26 16:53:54
45,0.070154,98.3800,0.2452,2026-03-26 16:54:05
46,0.072209,98.3700,0.2229,2026-03-26 16:54:16
47,0.072922,98.3900,0.2229,2026-03-26 16:54:27
48,0.073648,98.4000,0.2229,2026-03-26 16:54:38
49,0.074569,98.4000,0.2118,2026-03-26 16:54:49
50,0.074970,98.4000,0.2341,2026-03-26 16:55:00
