round,loss,accuracy,asr,evasion_rate,timestamp
1,1.629215,37.2200,30.7066,50.0000,2026-06-07 09:06:08
2,0.709702,76.7800,2.2180,50.0000,2026-06-07 09:06:17
3,0.362708,88.2600,1.1592,0.0000,2026-06-07 09:06:26
4,0.214730,93.0100,0.3567,0.0000,2026-06-07 09:06:36
5,0.148088,95.6000,0.7022,50.0000,2026-06-07 09:06:47
6,0.185819,95.4000,8.6937,100.0000,2026-06-07 09:06:57
7,0.137797,95.7600,0.5573,0.0000,2026-06-07 09:07:07
8,0.098143,96.9600,0.6353,50.0000,2026-06-07 09:07:18
9,0.103350,97.0100,1.2483,100.0000,2026-06-07 09:07:27
10,0.097236,97.0600,1.1480,100.0000,2026-06-07 09:07:37
11,0.097457,96.7600,0.6799,0.0000,2026-06-07 09:07:47
12,0.094971,97.0600,2.2849,100.0000,2026-06-07 09:07:57
13,0.080070,97.4400,3.4552,100.0000,2026-06-07 09:08:07
14,0.076639,97.6600,2.8645,100.0000,2026-06-07 09:08:16
15,0.070591,97.8200,5.9407,100.0000,2026-06-07 09:08:27
16,0.069451,97.6900,3.3772,0.0000,2026-06-07 09:08:38
17,0.060407,98.0900,5.8627,100.0000,2026-06-07 09:08:49
18,0.066538,97.8400,3.3103,0.0000,2026-06-07 09:09:00
19,0.066344,97.8700,4.7704,0.0000,2026-06-07 09:09:10
20,0.062038,97.9500,3.2880,,2026-06-07 09:09:19
