round,loss,accuracy,asr,evasion_rate,timestamp
1,2.289840,9.8200,0.0000,100.0000,2026-06-07 14:08:21
2,2.262070,18.6200,44.5497,100.0000,2026-06-07 14:08:30
3,2.182763,29.6800,66.3286,100.0000,2026-06-07 14:08:39
4,1.927225,61.3700,21.7566,100.0000,2026-06-07 14:08:48
5,1.183218,83.8400,3.2992,100.0000,2026-06-07 14:08:59
6,0.623319,88.0700,5.5506,100.0000,2026-06-07 14:09:09
7,0.388105,90.8400,1.7276,100.0000,2026-06-07 14:09:18
8,0.254122,94.0200,1.0811,100.0000,2026-06-07 14:09:29
9,0.224204,93.9800,0.9362,100.0000,2026-06-07 14:09:38
10,0.189676,94.8300,0.7579,100.0000,2026-06-07 14:09:48
11,0.170351,95.0800,0.5573,100.0000,2026-06-07 14:09:58
12,0.164681,95.1100,0.5573,100.0000,2026-06-07 14:10:08
13,0.159384,95.1700,0.7133,100.0000,2026-06-07 14:10:17
14,0.141208,95.7100,0.6353,100.0000,2026-06-07 14:10:27
15,0.134293,95.8600,0.6910,100.0000,2026-06-07 14:10:38
16,0.123433,96.2400,0.5350,100.0000,2026-06-07 14:10:48
17,0.113440,96.5600,0.6130,100.0000,2026-06-07 14:11:00
18,0.107063,96.6900,0.6130,100.0000,2026-06-07 14:11:10
19,0.101176,96.8000,0.4347,0.0000,2026-06-07 14:11:20
20,0.097333,96.9300,0.5016,,2026-06-07 14:11:29
21,0.094036,97.0900,0.5573,66.6667,2026-06-07 14:11:39
22,0.087419,97.2000,0.5239,0.0000,2026-06-07 14:11:49
23,0.086582,97.2900,0.4570,33.3333,2026-06-07 14:12:01
24,0.086379,97.2700,0.5127,0.0000,2026-06-07 14:12:12
25,0.083144,97.4000,0.4681,0.0000,2026-06-07 14:12:21
26,0.084093,97.2300,0.4124,0.0000,2026-06-07 14:12:31
27,0.080311,97.4400,0.5016,100.0000,2026-06-07 14:12:42
28,0.080551,97.4900,0.4793,0.0000,2026-06-07 14:12:50
29,0.077814,97.5500,0.4235,0.0000,2026-06-07 14:12:59
30,0.072258,97.6700,0.4012,0.0000,2026-06-07 14:13:10
