round,loss,accuracy,asr,evasion_rate,timestamp
1,2.291404,9.8200,0.0000,100.0000,2026-06-07 16:14:54
2,2.268419,13.7100,20.2519,100.0000,2026-06-07 16:15:03
3,2.203373,29.3900,59.2956,100.0000,2026-06-07 16:15:13
4,2.000800,58.4800,23.6625,100.0000,2026-06-07 16:15:23
5,1.357861,80.9700,3.7450,100.0000,2026-06-07 16:15:34
6,0.735677,86.0200,6.5983,100.0000,2026-06-07 16:15:43
7,0.418942,90.4200,1.6496,100.0000,2026-06-07 16:15:53
8,0.270050,93.5600,1.0477,100.0000,2026-06-07 16:16:05
9,0.235667,93.6600,0.8248,100.0000,2026-06-07 16:16:14
10,0.198081,94.6100,0.6799,66.6667,2026-06-07 16:16:24
11,0.178890,94.7800,0.5016,50.0000,2026-06-07 16:16:34
12,0.169601,94.9800,0.5350,66.6667,2026-06-07 16:16:43
13,0.165598,94.9500,0.6576,100.0000,2026-06-07 16:16:53
14,0.149090,95.4400,0.5907,100.0000,2026-06-07 16:17:03
15,0.140272,95.7300,0.5907,50.0000,2026-06-07 16:17:14
16,0.129100,96.0000,0.4904,100.0000,2026-06-07 16:17:24
17,0.117656,96.3700,0.5016,100.0000,2026-06-07 16:17:35
18,0.110888,96.5800,0.5350,100.0000,2026-06-07 16:17:46
19,0.104496,96.7200,0.4347,0.0000,2026-06-07 16:17:56
20,0.100237,96.8600,0.4904,,2026-06-07 16:18:05
21,0.096469,97.0100,0.4793,0.0000,2026-06-07 16:18:15
22,0.090548,97.0900,0.4904,0.0000,2026-06-07 16:18:25
23,0.089629,97.1800,0.4458,0.0000,2026-06-07 16:18:36
24,0.091526,97.0300,0.4347,0.0000,2026-06-07 16:18:46
25,0.085838,97.2800,0.4347,0.0000,2026-06-07 16:18:56
26,0.086140,97.2100,0.3678,0.0000,2026-06-07 16:19:05
27,0.082800,97.3700,0.4347,0.0000,2026-06-07 16:19:16
28,0.080800,97.4800,0.4347,0.0000,2026-06-07 16:19:25
29,0.080575,97.4600,0.3567,0.0000,2026-06-07 16:19:33
30,0.073878,97.6900,0.3790,0.0000,2026-06-07 16:19:43
