round,loss,accuracy,asr,timestamp
1,1.067994,65.4000,26.3041,2026-03-26 14:01:02
2,0.232344,93.5000,0.5573,2026-03-26 14:01:13
3,0.181161,95.7300,1.1146,2026-03-26 14:01:23
4,0.130989,96.6600,0.5573,2026-03-26 14:01:34
5,0.106451,97.1000,0.6130,2026-03-26 14:01:44
6,0.126583,97.2100,0.4904,2026-03-26 14:01:55
7,0.091374,97.4000,0.4570,2026-03-26 14:02:05
8,0.072520,97.8300,0.5796,2026-03-26 14:02:15
9,0.070256,97.9600,0.3232,2026-03-26 14:02:26
10,0.076792,97.7900,0.6130,2026-03-26 14:02:36
11,0.061069,98.1500,0.4793,2026-03-26 14:02:47
12,0.062251,98.1900,0.5573,2026-03-26 14:02:57
13,0.068146,98.2400,0.6687,2026-03-26 14:03:08
14,0.052361,98.3900,0.3901,2026-03-26 14:03:18
15,0.056503,98.2900,0.7245,2026-03-26 14:03:28
16,0.048311,98.3900,0.5907,2026-03-26 14:03:39
17,0.054321,98.3600,0.5350,2026-03-26 14:03:49
18,0.042361,98.5800,0.5350,2026-03-26 14:03:59
19,0.042476,98.5800,0.5461,2026-03-26 14:04:10
20,0.038470,98.7700,0.5907,2026-03-26 14:04:20
21,0.046721,98.5000,0.7356,2026-03-26 14:04:31
22,0.046954,98.4800,1.2595,2026-03-26 14:04:41
23,0.045009,98.5700,1.6942,2026-03-26 14:04:51
24,0.040646,98.6000,1.8502,2026-03-26 14:05:02
25,0.034698,98.8100,1.1592,2026-03-26 14:05:12
26,0.035708,98.8600,1.5381,2026-03-26 14:05:22
27,0.041018,98.6200,1.8279,2026-03-26 14:05:33
28,0.036345,98.7700,3.1543,2026-03-26 14:05:43
29,0.037368,98.6700,5.0936,2026-03-26 14:05:53
30,0.036696,98.7800,6.5537,2026-03-26 14:06:04
31,0.038318,98.6300,4.6366,2026-03-26 14:06:14
32,0.037978,98.7900,9.2064,2026-03-26 14:06:24
33,0.036267,98.7800,10.1204,2026-03-26 14:06:35
34,0.032166,98.9400,10.2764,2026-03-26 14:06:45
35,0.036108,98.7400,13.1074,2026-03-26 14:06:55
36,0.037915,98.6800,28.7673,2026-03-26 14:07:06
37,0.034691,98.8000,26.2595,2026-03-26 14:07:16
38,0.034941,98.7500,37.3049,2026-03-26 14:07:26
39,0.034316,98.7700,31.9550,2026-03-26 14:07:37
40,0.032678,98.8700,53.3995,2026-03-26 14:07:47
41,0.033542,98.8600,69.5274,2026-03-26 14:07:57
42,0.033045,98.8400,80.2274,2026-03-26 14:08:08
43,0.032700,98.8800,71.9906,2026-03-26 14:08:18
44,0.032901,98.8200,76.3709,2026-03-26 14:08:29
45,0.032884,98.8400,80.0156,2026-03-26 14:08:39
46,0.032721,98.8700,87.7396,2026-03-26 14:08:50
47,0.030290,98.9400,89.4115,2026-03-26 14:09:00
48,0.030803,98.9200,87.3049,2026-03-26 14:09:10
49,0.030963,98.8900,91.0834,2026-03-26 14:09:21
50,0.028781,98.9800,87.3049,2026-03-26 14:09:31
