round,loss,accuracy,asr,evasion_rate,timestamp
1,2.291424,17.0700,0.0000,100.0000,2026-06-07 18:25:25
2,2.256868,26.3500,0.0000,100.0000,2026-06-07 18:25:33
3,2.159021,36.8300,3.3326,100.0000,2026-06-07 18:25:42
4,1.795253,73.0900,7.7575,100.0000,2026-06-07 18:25:51
5,0.906923,77.8600,2.8645,100.0000,2026-06-07 18:26:00
6,0.515095,86.4500,3.3995,100.0000,2026-06-07 18:26:08
7,0.346759,90.5400,1.3486,,2026-06-07 18:26:17
8,0.264574,92.7300,1.0700,100.0000,2026-06-07 18:26:27
9,0.213438,94.0800,0.9697,100.0000,2026-06-07 18:26:37
10,0.177621,94.6100,0.9028,100.0000,2026-06-07 18:26:45
11,0.155402,95.4200,0.9474,100.0000,2026-06-07 18:26:54
12,0.144399,95.5600,0.6242,,2026-06-07 18:27:03
13,0.136167,95.5000,0.4793,100.0000,2026-06-07 18:27:12
14,0.118250,96.3300,0.3901,100.0000,2026-06-07 18:27:21
15,0.107938,96.7700,0.4904,100.0000,2026-06-07 18:27:29
16,0.102485,96.8700,0.4347,100.0000,2026-06-07 18:27:39
17,0.103962,96.9000,0.5907,100.0000,2026-06-07 18:27:48
18,0.096164,96.9500,0.3121,100.0000,2026-06-07 18:27:58
19,0.091811,97.1700,0.3344,100.0000,2026-06-07 18:28:07
20,0.085850,97.4600,0.4458,100.0000,2026-06-07 18:28:16
21,0.079973,97.4900,0.3901,100.0000,2026-06-07 18:28:26
22,0.075464,97.6300,0.3901,100.0000,2026-06-07 18:28:36
23,0.078349,97.4900,0.2564,100.0000,2026-06-07 18:28:46
24,0.075283,97.4800,0.2675,100.0000,2026-06-07 18:28:54
25,0.069671,97.8200,0.3455,100.0000,2026-06-07 18:29:03
26,0.068231,97.8900,0.3455,100.0000,2026-06-07 18:29:12
27,0.067312,97.8000,0.2564,100.0000,2026-06-07 18:29:21
28,0.070083,97.5900,0.1672,0.0000,2026-06-07 18:29:29
29,0.064397,97.9500,0.2341,100.0000,2026-06-07 18:29:38
30,0.058228,98.1400,0.2898,100.0000,2026-06-07 18:29:47
