round,loss,accuracy,asr,evasion_rate,timestamp
1,1.349073,52.0100,13.3749,100.0000,2026-06-07 20:55:44
2,0.451390,85.0700,3.7338,100.0000,2026-06-07 20:55:53
3,0.257399,91.7900,1.1034,100.0000,2026-06-07 20:56:02
4,0.126379,96.2800,0.7802,100.0000,2026-06-07 20:56:11
5,0.123015,95.9300,0.5684,100.0000,2026-06-07 20:56:20
6,0.094086,97.3200,0.4124,100.0000,2026-06-07 20:56:29
7,0.071324,97.7900,0.3009,100.0000,2026-06-07 20:56:38
8,0.071647,97.6500,0.3121,100.0000,2026-06-07 20:56:47
9,0.071082,97.7000,0.2564,100.0000,2026-06-07 20:56:55
10,0.063225,97.9700,0.3678,100.0000,2026-06-07 20:57:04
11,0.065635,97.9900,0.2786,100.0000,2026-06-07 20:57:13
12,0.060784,97.8700,0.3901,100.0000,2026-06-07 20:57:22
13,0.071948,97.7000,0.3790,100.0000,2026-06-07 20:57:31
14,0.045991,98.5400,0.1560,100.0000,2026-06-07 20:57:40
15,0.050239,98.3300,0.1895,100.0000,2026-06-07 20:57:48
16,0.043900,98.5200,0.3455,100.0000,2026-06-07 20:57:57
17,0.044223,98.5100,0.2786,100.0000,2026-06-07 20:58:07
18,0.054694,98.1100,0.3232,100.0000,2026-06-07 20:58:16
19,0.074817,97.5800,0.3121,100.0000,2026-06-07 20:58:24
20,0.053894,98.3700,0.3567,100.0000,2026-06-07 20:58:34
21,0.041504,98.6100,0.2006,100.0000,2026-06-07 20:58:42
22,0.044497,98.4800,0.2786,100.0000,2026-06-07 20:58:51
23,0.055407,98.0500,0.1672,100.0000,2026-06-07 20:59:00
24,0.048547,98.5600,0.6576,100.0000,2026-06-07 20:59:09
25,0.039426,98.7400,0.2006,100.0000,2026-06-07 20:59:18
26,0.038676,98.5900,0.2564,100.0000,2026-06-07 20:59:26
27,0.039727,98.6400,0.1672,100.0000,2026-06-07 20:59:34
28,0.046503,98.4800,0.3009,100.0000,2026-06-07 20:59:42
29,0.047688,98.5100,0.2898,100.0000,2026-06-07 20:59:51
30,0.035785,98.7600,0.2675,100.0000,2026-06-07 21:00:00
