round,loss,accuracy,asr,evasion_rate,timestamp
1,2.029481,24.2500,78.6447,100.0000,2026-06-07 19:01:34
2,0.892706,69.8200,8.2479,100.0000,2026-06-07 19:01:45
3,0.421785,86.0400,5.4280,100.0000,2026-06-07 19:01:55
4,0.286044,89.3300,1.2037,100.0000,2026-06-07 19:02:04
5,0.178609,94.5900,2.1511,100.0000,2026-06-07 19:02:13
6,0.274717,90.0400,1.8279,100.0000,2026-06-07 19:02:20
7,0.134531,95.6200,0.9362,,2026-06-07 19:02:30
8,0.151904,95.0800,0.7579,100.0000,2026-06-07 19:02:39
9,0.126618,96.2000,2.4075,100.0000,2026-06-07 19:02:50
10,0.106558,96.8400,1.5604,100.0000,2026-06-07 19:02:59
11,0.074629,97.8000,0.8248,100.0000,2026-06-07 19:03:09
12,0.068770,97.9000,0.8917,,2026-06-07 19:03:18
13,0.077443,97.4700,1.2037,100.0000,2026-06-07 19:03:29
14,0.069371,97.8100,1.1480,100.0000,2026-06-07 19:03:38
15,0.077309,97.6800,1.7722,100.0000,2026-06-07 19:03:47
16,0.087635,97.2100,3.4998,100.0000,2026-06-07 19:03:56
17,0.075056,97.7500,1.3263,100.0000,2026-06-07 19:04:06
18,0.063794,98.0200,1.8168,100.0000,2026-06-07 19:04:16
19,0.063060,98.0600,2.6193,100.0000,2026-06-07 19:04:25
20,0.066443,97.8600,2.8087,100.0000,2026-06-07 19:04:35
21,0.058842,98.1500,3.1877,100.0000,2026-06-07 19:04:46
22,0.076819,97.4700,4.3357,100.0000,2026-06-07 19:04:55
23,0.067283,97.9900,9.4962,100.0000,2026-06-07 19:05:04
24,0.067483,97.7900,6.7432,100.0000,2026-06-07 19:05:13
25,0.046204,98.4700,3.5332,100.0000,2026-06-07 19:05:23
26,0.056929,98.1600,7.8466,100.0000,2026-06-07 19:05:32
27,0.052015,98.1700,7.6906,100.0000,2026-06-07 19:05:42
28,0.046672,98.5100,13.8319,100.0000,2026-06-07 19:05:52
29,0.056024,98.2400,14.5898,100.0000,2026-06-07 19:06:01
30,0.056197,98.2600,35.2095,100.0000,2026-06-07 19:06:10
