round,loss,accuracy,asr,timestamp
1,2.566846,21.1700,89.2666,2026-03-26 11:26:02
2,0.486674,87.5100,0.6910,2026-03-26 11:26:12
3,0.241582,92.8500,99.3313,2026-03-26 11:26:23
4,0.170831,94.4200,94.2488,2026-03-26 11:26:33
5,0.137353,95.7500,99.6879,2026-03-26 11:26:43
6,0.115478,96.3400,99.6322,2026-03-26 11:26:53
7,0.081677,97.3100,99.7994,2026-03-26 11:27:03
8,0.077473,97.4400,99.5765,2026-03-26 11:27:13
9,0.076933,97.4800,99.7102,2026-03-26 11:27:23
10,0.056404,98.2000,99.9889,2026-03-26 11:27:33
11,0.057335,98.2100,99.2421,2026-03-26 11:27:44
12,0.053178,98.3300,99.9889,2026-03-26 11:27:54
13,0.052157,98.4100,99.9108,2026-03-26 11:28:04
14,0.051269,98.4400,99.9889,2026-03-26 11:28:14
15,0.052728,98.1800,99.9889,2026-03-26 11:28:24
16,0.054628,98.1900,99.8774,2026-03-26 11:28:34
17,0.049013,98.3300,99.9777,2026-03-26 11:28:45
18,0.065648,97.8700,99.7994,2026-03-26 11:28:55
19,0.049276,98.3400,99.9554,2026-03-26 11:29:05
20,0.051139,98.5600,99.9777,2026-03-26 11:29:15
21,0.041909,98.6200,99.8551,2026-03-26 11:29:25
22,0.045574,98.5600,99.9666,2026-03-26 11:29:35
23,0.035164,98.9000,99.9220,2026-03-26 11:29:46
24,0.040514,98.7200,99.9889,2026-03-26 11:29:56
25,0.063178,98.0600,99.9777,2026-03-26 11:30:06
26,0.050057,98.3600,99.7436,2026-03-26 11:30:16
27,0.036898,98.7700,99.9666,2026-03-26 11:30:27
28,0.035685,98.9200,99.9777,2026-03-26 11:30:37
29,0.032911,98.9400,99.9777,2026-03-26 11:30:48
30,0.033395,98.9700,99.9777,2026-03-26 11:30:58
31,0.040707,98.6700,99.9889,2026-03-26 11:31:09
32,0.033974,98.8900,100.0000,2026-03-26 11:31:19
33,0.044030,98.7000,99.9443,2026-03-26 11:31:29
34,0.056585,98.2600,100.0000,2026-03-26 11:31:40
35,0.060393,98.0300,99.8774,2026-03-26 11:31:50
36,0.034201,98.9600,99.9777,2026-03-26 11:32:00
37,0.032157,98.9300,99.9777,2026-03-26 11:32:11
38,0.028492,99.1200,99.9889,2026-03-26 11:32:21
39,0.030800,99.0400,99.9777,2026-03-26 11:32:32
40,0.030994,99.0900,99.9666,2026-03-26 11:32:42
41,0.029413,99.0200,99.9889,2026-03-26 11:32:53
42,0.027937,99.1100,99.9889,2026-03-26 11:33:03
43,0.028259,99.1400,99.9666,2026-03-26 11:33:14
44,0.037752,98.6700,100.0000,2026-03-26 11:33:24
45,0.029235,99.1300,99.9554,2026-03-26 11:33:35
46,0.032342,98.9400,100.0000,2026-03-26 11:33:45
47,0.035871,98.9700,99.9108,2026-03-26 11:33:55
48,0.031786,98.9500,100.0000,2026-03-26 11:34:06
49,0.029051,99.1100,99.9777,2026-03-26 11:34:16
50,0.032196,99.0200,99.9889,2026-03-26 11:34:26
