round,loss,accuracy,asr,timestamp
1,2.247189,12.2300,0.0000,2026-03-26 13:35:28
2,1.861365,71.9000,0.2118,2026-03-26 13:35:37
3,0.775690,81.2400,0.5239,2026-03-26 13:35:47
4,0.490691,85.4500,0.3567,2026-03-26 13:35:56
5,0.328531,89.9300,0.3567,2026-03-26 13:36:08
6,0.546253,93.0500,0.7914,2026-03-26 13:36:18
7,0.495773,92.0200,0.2786,2026-03-26 13:36:29
8,0.187966,95.8100,0.4904,2026-03-26 13:36:39
9,0.184614,95.4700,0.2564,2026-03-26 13:36:49
10,0.346219,95.3600,0.1783,2026-03-26 13:36:59
11,0.223291,94.6700,0.1337,2026-03-26 13:37:10
12,0.184431,95.5100,0.1783,2026-03-26 13:37:19
13,0.264286,95.7900,0.1672,2026-03-26 13:37:29
14,0.213250,95.0500,0.1560,2026-03-26 13:37:39
15,0.297660,95.5000,0.1337,2026-03-26 13:37:51
16,0.139113,96.4600,0.2006,2026-03-26 13:38:02
17,0.300387,96.7300,0.2229,2026-03-26 13:38:13
18,0.146962,95.7300,0.2452,2026-03-26 13:38:24
19,0.135397,95.9300,0.1672,2026-03-26 13:38:35
20,0.111926,96.6900,0.3901,2026-03-26 13:38:45
21,0.186252,97.2300,0.2341,2026-03-26 13:38:55
22,0.272318,97.1500,0.4458,2026-03-26 13:39:06
23,0.315499,96.9600,0.2564,2026-03-26 13:39:17
24,0.157166,96.9200,0.1449,2026-03-26 13:39:29
25,0.115913,96.4800,0.2341,2026-03-26 13:39:39
26,0.111484,97.0600,0.1115,2026-03-26 13:39:49
27,0.170881,97.4600,0.2452,2026-03-26 13:40:00
28,0.203534,97.4700,0.1449,2026-03-26 13:40:10
29,0.235036,96.4900,0.1003,2026-03-26 13:40:19
30,0.137813,96.9400,0.1560,2026-03-26 13:40:30
31,0.122688,96.6600,0.1226,2026-03-26 13:40:40
32,0.205227,96.9600,0.2786,2026-03-26 13:40:50
33,0.119554,97.4100,0.1560,2026-03-26 13:41:00
34,0.094525,97.6000,0.3121,2026-03-26 13:41:11
35,0.105428,97.6200,0.2341,2026-03-26 13:41:21
36,0.176283,97.4500,0.2786,2026-03-26 13:41:31
37,0.111865,97.4400,0.1895,2026-03-26 13:41:41
38,0.115666,97.4600,0.1895,2026-03-26 13:41:51
39,0.100870,97.6000,0.2452,2026-03-26 13:42:01
40,0.199918,97.4700,0.1226,2026-03-26 13:42:11
41,0.221419,97.7300,0.2341,2026-03-26 13:42:21
42,0.270413,97.3200,0.1783,2026-03-26 13:42:32
43,0.098518,97.4200,0.1449,2026-03-26 13:42:42
44,0.103317,97.6100,0.1560,2026-03-26 13:42:51
45,0.103405,97.3900,0.1115,2026-03-26 13:43:02
46,0.097351,97.8900,0.2564,2026-03-26 13:43:13
47,0.098652,97.6700,0.1115,2026-03-26 13:43:22
48,0.105222,97.4200,0.1560,2026-03-26 13:43:33
49,0.093766,97.8800,0.1337,2026-03-26 13:43:44
50,0.083448,97.6600,0.1895,2026-03-26 13:43:55
