round,loss,accuracy,asr,timestamp
1,2.252021,41.8000,59.1061,2026-03-26 11:07:12
2,0.353791,89.6900,8.2144,2026-03-26 11:07:23
3,0.493975,84.1000,91.4623,2026-03-26 11:07:35
4,0.161882,94.7900,89.7570,2026-03-26 11:07:46
5,0.171711,94.5400,95.1070,2026-03-26 11:07:57
6,0.107878,96.4000,99.9554,2026-03-26 11:08:08
7,0.069204,97.8500,96.5671,2026-03-26 11:08:19
8,0.061082,98.0400,94.0036,2026-03-26 11:08:30
9,0.103755,96.9300,100.0000,2026-03-26 11:08:40
10,0.082390,97.4600,97.7820,2026-03-26 11:08:51
11,0.050685,98.3900,96.0432,2026-03-26 11:09:02
12,0.095586,97.0200,99.9331,2026-03-26 11:09:13
13,0.090447,97.1500,91.5181,2026-03-26 11:09:24
14,0.146101,95.5800,100.0000,2026-03-26 11:09:35
15,0.145522,95.4800,98.1164,2026-03-26 11:09:46
16,0.040840,98.5400,99.5430,2026-03-26 11:09:56
17,0.047245,98.4700,99.9777,2026-03-26 11:10:07
18,0.057487,98.1200,99.8663,2026-03-26 11:10:18
19,0.037545,98.7100,99.4316,2026-03-26 11:10:28
20,0.036500,98.8600,99.3647,2026-03-26 11:10:39
21,0.052052,98.2700,100.0000,2026-03-26 11:10:50
22,0.043277,98.6500,99.8328,2026-03-26 11:11:01
23,0.075974,97.7300,99.9889,2026-03-26 11:11:12
24,0.096742,97.1500,97.8266,2026-03-26 11:11:23
25,0.062620,97.9100,100.0000,2026-03-26 11:11:34
26,0.067477,98.0100,99.8774,2026-03-26 11:11:44
27,0.064874,97.9100,99.9220,2026-03-26 11:11:56
28,0.050989,98.4800,99.9777,2026-03-26 11:12:07
29,0.051602,98.4400,99.9554,2026-03-26 11:12:19
30,0.045629,98.4900,99.9889,2026-03-26 11:12:30
31,0.061475,98.2200,99.9554,2026-03-26 11:12:41
32,0.087102,97.3100,99.9889,2026-03-26 11:12:53
33,0.078309,97.6500,99.9554,2026-03-26 11:13:04
34,0.028570,99.0800,99.8551,2026-03-26 11:13:15
35,0.032708,98.8200,99.9889,2026-03-26 11:13:27
36,0.034715,98.8200,99.9443,2026-03-26 11:13:38
37,0.059290,98.1700,100.0000,2026-03-26 11:13:50
38,0.028301,99.0100,99.9443,2026-03-26 11:14:01
39,0.032118,98.9600,99.9889,2026-03-26 11:14:12
40,0.033977,98.8800,99.9777,2026-03-26 11:14:23
41,0.043111,98.6100,99.9889,2026-03-26 11:14:35
42,0.031045,99.0300,99.9220,2026-03-26 11:14:46
43,0.026382,99.0400,99.9443,2026-03-26 11:14:57
44,0.031099,99.0100,99.9777,2026-03-26 11:15:08
45,0.029080,99.0400,99.9554,2026-03-26 11:15:19
46,0.030644,98.9800,99.9443,2026-03-26 11:15:30
47,0.038152,98.8800,99.9889,2026-03-26 11:15:42
48,0.033571,98.8400,99.9220,2026-03-26 11:15:53
49,0.034757,98.9000,99.9443,2026-03-26 11:16:05
50,0.044520,98.5800,99.9554,2026-03-26 11:16:16
